Player,Rundle,QPct
AndersonC3,D Isthmus Div 2,0.42
Andersonc420,E Central Div 1,0.35507246376812
AndersonC70,D Memorial Div 1,0.37333333333333
AndersonCAD,D Citadel Div 1,0.38194444444444
AndersonCandy,E Sakura Div 1,0.22463768115942
AndersonCJ,E Citadel Div 1,0.42361111111111
AndersonD2,D Ember Div 2,0.48
AndersonD33,A Arctic,0.74666666666667
AndersonDR,C Redwoods,0.48
AndersonE,D Redwoods Div 2,0.56
AndersonE2,D Ember Div 2,0.50666666666667
AndersonE31,C Arctic Div 1,0.58
AndersonE5,D Plaza Div 2,0.35416666666667
AndersonE6,E Sierra Div 1,0.26811594202899
AndersonEM,E Foundry Div 1,0.33333333333333
AndersonEML,B Maelstrom,0.56666666666667
AndersonES,A Plaza,0.73333333333333
AndersonG6,C Tranquility,0.60416666666667
AndersonG7,R Div 31,0.65686274509804
AndersonGr,D Utopia Div 1,0.45333333333333
AndersonH7,E Polaris Div 1,0.25
AndersonHM,D Vista Div 1,0.38
AndersonI,E Labyrinth Div 1,0.44666666666667
AndersonJ,A Citadel,0.62
AndersonJ Mahtomedi,E Cerulean Div 1,0.36111111111111
AndersonJ2,C Frontier,0.6
AndersonJ302,B Olive,0.66
AndersonJ47,D Coastal Div 1,0.56666666666667
AndersonJ6,C Meridian,0.59333333333333
AndersonJ8,A Quay,0.65942028985507
AndersonJ9,C Orchard Div 2,0.59027777777778
AndersonJI,C Seaboard,0.48484848484848
AndersonJM,E Oasis Div 1,0.29333333333333
AndersonJW,D Union Div 2,0.53333333333333
AndersonJW2,C Union Div 2,0.49242424242424
AndersonK42,B Orange,0.67333333333333
AndersonK5,E Rubicon Div 1,0.38
AndersonK6,E Alpine Div 1,0.29333333333333
AndersonK65,A Central,0.63888888888889
AndersonK7,C Plaza Div 1,0.62666666666667
AndersonK9,E Delta Div 2,0.29333333333333
AndersonKL,C Ember Div 1,0.51333333333333
AndersonL3,E Plateau Div 2,0.20666666666667
AndersonLV,C Patagonia,0.48
AndersonM12,E Skyline Div 1,0.26666666666667
AndersonM13,E Bayou Div 2,0.5625
AndersonM2,B Mountain,0.64492753623188
AndersonM5,A Orchard,0.62
AndersonM6,B Arcadia,0.56
AndersonM7,E Morningstar Div 1,0.3
AndersonM8,D Union Div 2,0.46
AndersonMatt,R Div 17,0.46666666666667
AndersonMD,C Rainbow,0.66666666666667
AndersonN6,E Ridge Div 1,0.38666666666667
AndersonP4,D Vista Div 1,0.42666666666667
AndersonP42069,R Div 48,0.275
AndersonP6,D Maelstrom Div 2,0.35507246376812
AndersonPP,D Rubicon Div 1,0.45333333333333
AndersonR2,C Sunrise,0.525
AndersonR7,D Junction Div 1,0.56349206349206
AndersonS,A Foothills,0.72666666666667
AndersonS21,E Plateau Div 2,0.22666666666667
AndersonS8,R Div 66,0.18840579710145
AndersonSK,D Bayou Div 1,0.42
AndersonT10,R Div 58,0.53333333333333
AndersonT2,D Valhalla Div 2,0.54666666666667
AndersonT5,E Park Div 3,0.48666666666667
AndersonT9,C Commonwealth,0.57333333333333
AndersonW,C Alpine,0.57333333333333
AndersonWJ,C Continental,0.68840579710145
AndertB,D Atlantic Div 2,0.44202898550725
AndinoK,A Denali,0.58
AndinoT,B Denali,0.65333333333333
AndrackiT,A Glacier,0.75333333333333
AndradeA,C Serengeti,0.48
Andradem,E Coral Div 1,0.4
AndreaeJ,C Orchid Div 1,0.57246376811594
AndreanoM,D Quarry Div 2,0.45652173913043
AndrejkovicsP,A Kaleidoscope,0.93333333333333
AndreP,D Kookaburra Div 2,0.38
AndresE,A Isthmus,0.59333333333333
AndreucciA,R Div 39,0.24166666666667
AndrewH,C Highland,0.49333333333333
AndrewRJ,C Elysium,0.60666666666667
AndrewS,D Highland Div 1,0.44666666666667
Andrews-HokeM,R Div 72,0.33333333333333
AndrewsA,E Quay Div 1,0.35333333333333
